"SCED Time Stamp","Repeated Hour Flag","QSE","REGUP","REGDN","NSPIN","NSPNM","RRSPFR","RRSFFR","RRSUFR","ECRSS","ECRSM"
"02/09/2025 00:15:10","N","QOCSQ1","","","","","0","0","7.5","",""
"02/09/2025 00:15:10","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 00:15:10","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 00:15:10","N","QSTEC","0","0","0","","0","0","26.8","",""
"02/09/2025 00:15:10","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 00:15:10","N","QTEN18","2.6","2.2","13.1","","23.1","0","0","4.6","0"
"02/09/2025 00:15:10","N","QTENSK","","","","","0","0","11.3","",""
"02/09/2025 00:15:10","N","QTOTL1","-.9","-.7","-4.4","","-7.8","0","0","-1.5",""
"02/09/2025 00:30:10","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 00:30:10","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 00:30:10","N","QAMA","","","","","1","0","0","",""
"02/09/2025 00:30:10","N","QBPEC7","-1.7","-1.5","-8.7","","-15.3","0","0","-3.1",""
"02/09/2025 00:30:10","N","QBTU","","","","","0","0","7","",""
"02/09/2025 00:30:10","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 00:30:10","N","QEDE10","","","","","0","0","41.9","",""
"02/09/2025 00:30:10","N","QEDE12","","","","","0","0","12.7","",""
"02/09/2025 00:30:10","N","QEDES1","","","","","0","0","91.7","",""
"02/09/2025 00:30:10","N","QEDES2","","","","","0","0","7","",""
"02/09/2025 00:30:10","N","QEDES5","","","","","0","0","18.5","",""
"02/09/2025 00:30:10","N","QEDES6","","","","","0","0","6.4","",""
"02/09/2025 00:30:10","N","QEDES8","","","","","0","0","13.4","",""
"02/09/2025 00:30:10","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 00:30:10","N","QFRONT","","","","","0","0","4.6","",""
"02/09/2025 00:30:10","N","QGAR6","","","","","0","0","7.5","",""
"02/09/2025 00:30:10","N","QGERD","","","","","0","0","4.9","",""
"02/09/2025 00:30:10","N","QGEXA","","","","","0","0","21.8","",""
"02/09/2025 00:30:10","N","QGEXA7","","","","","0","0","5.5","",""
"02/09/2025 00:30:10","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 00:30:10","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 00:30:10","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 00:30:10","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 00:30:10","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 00:30:10","N","QOCSQ1","","","","","0","0","7.5","",""
"02/09/2025 00:30:10","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 00:30:10","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 00:30:10","N","QSTEC","0","0","0","","0","0","26.8","",""
"02/09/2025 00:30:10","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 00:30:10","N","QTEN18","2.6","2.2","13.1","","23.1","0","0","4.6","0"
"02/09/2025 00:30:10","N","QTENSK","","","","","0","0","11.3","",""
"02/09/2025 00:30:10","N","QTOTL1","-.9","-.7","-4.4","","-7.8","0","0","-1.5",""
"02/09/2025 00:45:11","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 00:45:11","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 00:45:11","N","QAMA","","","","","1","0","0","",""
"02/09/2025 00:45:11","N","QBPEC7","-1.7","-1.5","-8.7","","-15.3","0","0","-3.1",""
"02/09/2025 00:45:11","N","QBTU","","","","","0","0","7","",""
"02/09/2025 00:45:11","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 00:45:11","N","QEDE10","","","","","0","0","41.9","",""
"02/09/2025 00:45:11","N","QEDE12","","","","","0","0","12.7","",""
"02/09/2025 00:45:11","N","QEDES1","","","","","0","0","91.7","",""
"02/09/2025 00:45:11","N","QEDES2","","","","","0","0","7","",""
"02/09/2025 00:45:11","N","QEDES5","","","","","0","0","18.5","",""
"02/09/2025 00:45:11","N","QEDES6","","","","","0","0","6.4","",""
"02/09/2025 00:45:11","N","QEDES8","","","","","0","0","13.4","",""
"02/09/2025 00:45:11","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 00:45:11","N","QFRONT","","","","","0","0","4.6","",""
"02/09/2025 00:45:11","N","QGAR6","","","","","0","0","7.5","",""
"02/09/2025 00:45:11","N","QGERD","","","","","0","0","4.9","",""
"02/09/2025 00:45:11","N","QGEXA","","","","","0","0","21.8","",""
"02/09/2025 00:45:11","N","QGEXA7","","","","","0","0","5.5","",""
"02/09/2025 00:45:11","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 00:45:11","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 00:45:11","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 00:45:11","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 00:45:11","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 00:45:11","N","QOCSQ1","","","","","0","0","7.5","",""
"02/09/2025 00:45:11","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 00:45:11","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 00:45:11","N","QSTEC","0","0","0","","0","0","26.8","",""
"02/09/2025 00:45:11","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 00:45:11","N","QTEN18","2.6","2.2","13.1","","23.1","0","0","4.6","0"
"02/09/2025 00:45:11","N","QTENSK","","","","","0","0","11.3","",""
"02/09/2025 00:45:11","N","QTOTL1","-.9","-.7","-4.4","","-7.8","0","0","-1.5",""
"02/09/2025 01:00:15","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 01:00:15","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 01:00:15","N","QAMA","","","","","1","0","0","",""
"02/09/2025 01:00:15","N","QBPEC7","-1.3","-1.3","-9","","-15.8","0","0","-3.1",""
"02/09/2025 01:00:15","N","QBTU","","","","","0","0","7","",""
"02/09/2025 01:00:15","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 01:00:15","N","QEDE10","","","","","0","0","41.7","",""
"02/09/2025 01:00:15","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 01:00:15","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 01:00:15","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 01:00:15","N","QEDES5","","","","","0","0","18.6","",""
"02/09/2025 01:00:15","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 01:00:15","N","QEDES8","","","","","0","0","13.6","",""
"02/09/2025 01:00:15","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 01:00:15","N","QFRONT","","","","","0","0","4.3","",""
"02/09/2025 01:00:15","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 01:00:15","N","QGERD","","","","","0","0","6.1","",""
"02/09/2025 01:00:15","N","QGEXA","","","","","0","0","21.3","",""
"02/09/2025 01:00:15","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 01:00:15","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 01:00:15","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 01:00:15","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 01:00:15","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 01:00:15","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 01:00:15","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 01:00:15","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 01:00:15","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 01:00:15","N","QSTEC","0","0","0","","0","0","27.3","",""
"02/09/2025 01:00:15","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 01:00:15","N","QTEN18","1.9","1.9","13.5","","23.7","0","0","4.6","0"
"02/09/2025 01:00:15","N","QTENSK","","","","","0","0","11.2","",""
"02/09/2025 01:00:15","N","QTOTL1","-.6","-.6","-4.5","","-7.9","0","0","-1.5",""
"02/09/2025 01:15:11","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 01:15:11","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 01:15:11","N","QAMA","","","","","1","0","0","",""
"02/09/2025 01:15:11","N","QBPEC7","-1.3","-1.3","-9","","-15.8","0","0","-3.1",""
"02/09/2025 01:15:11","N","QBTU","","","","","0","0","7","",""
"02/09/2025 01:15:11","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 01:15:11","N","QEDE10","","","","","0","0","41.7","",""
"02/09/2025 01:15:11","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 01:15:11","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 01:15:11","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 01:15:11","N","QEDES5","","","","","0","0","18.6","",""
"02/09/2025 01:15:11","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 01:15:11","N","QEDES8","","","","","0","0","13.6","",""
"02/09/2025 01:15:11","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 01:15:11","N","QFRONT","","","","","0","0","4.3","",""
"02/09/2025 01:15:11","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 01:15:11","N","QGERD","","","","","0","0","6.1","",""
"02/09/2025 01:15:11","N","QGEXA","","","","","0","0","21.3","",""
"02/09/2025 01:15:11","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 01:15:11","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 01:15:11","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 01:15:11","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 01:15:11","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 01:15:11","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 01:15:11","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 01:15:11","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 01:15:11","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 01:15:11","N","QSTEC","0","0","0","","0","0","27.3","",""
"02/09/2025 01:15:11","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 01:15:11","N","QTEN18","1.9","1.9","13.5","","23.7","0","0","4.6","0"
"02/09/2025 01:15:11","N","QTENSK","","","","","0","0","11.2","",""
"02/09/2025 01:15:11","N","QTOTL1","-.6","-.6","-4.5","","-7.9","0","0","-1.5",""
"02/09/2025 01:30:11","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 01:30:11","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 01:30:11","N","QAMA","","","","","1","0","0","",""
"02/09/2025 01:30:11","N","QBPEC7","-1.3","-1.3","-9","","-15.8","0","0","-3.1",""
"02/09/2025 01:30:11","N","QBTU","","","","","0","0","7","",""
"02/09/2025 01:30:11","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 01:30:11","N","QEDE10","","","","","0","0","41.7","",""
"02/09/2025 01:30:11","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 01:30:11","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 01:30:11","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 01:30:11","N","QEDES5","","","","","0","0","18.6","",""
"02/09/2025 01:30:11","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 01:30:11","N","QEDES8","","","","","0","0","13.6","",""
"02/09/2025 01:30:11","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 01:30:11","N","QFRONT","","","","","0","0","4.3","",""
"02/09/2025 01:30:11","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 01:30:11","N","QGERD","","","","","0","0","6.1","",""
"02/09/2025 01:30:11","N","QGEXA","","","","","0","0","21.3","",""
"02/09/2025 01:30:11","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 01:30:11","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 01:30:11","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 01:30:11","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 01:30:11","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 01:30:11","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 01:30:11","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 01:30:11","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 01:30:11","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 01:30:11","N","QSTEC","0","0","0","","0","0","27.3","",""
"02/09/2025 01:30:11","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 01:30:11","N","QTEN18","1.9","1.9","13.5","","23.7","0","0","4.6","0"
"02/09/2025 01:30:11","N","QTENSK","","","","","0","0","11.2","",""
"02/09/2025 01:30:11","N","QTOTL1","-.6","-.6","-4.5","","-7.9","0","0","-1.5",""
"02/09/2025 01:45:11","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 01:45:11","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 01:45:11","N","QAMA","","","","","1","0","0","",""
"02/09/2025 01:45:11","N","QBPEC7","-1.3","-1.3","-9","","-15.8","0","0","-3.1",""
"02/09/2025 01:45:11","N","QBTU","","","","","0","0","7","",""
"02/09/2025 01:45:11","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 01:45:11","N","QEDE10","","","","","0","0","41.7","",""
"02/09/2025 01:45:11","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 01:45:11","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 01:45:11","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 01:45:11","N","QEDES5","","","","","0","0","18.6","",""
"02/09/2025 01:45:11","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 01:45:11","N","QEDES8","","","","","0","0","13.6","",""
"02/09/2025 01:45:11","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 01:45:11","N","QFRONT","","","","","0","0","4.3","",""
"02/09/2025 01:45:11","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 01:45:11","N","QGERD","","","","","0","0","6.1","",""
"02/09/2025 01:45:11","N","QGEXA","","","","","0","0","21.3","",""
"02/09/2025 01:45:11","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 01:45:11","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 01:45:11","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 01:45:11","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 01:45:11","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 01:45:11","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 01:45:11","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 01:45:11","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 01:45:11","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 01:45:11","N","QSTEC","0","0","0","","0","0","27.3","",""
"02/09/2025 01:45:11","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 01:45:11","N","QTEN18","1.9","1.9","13.5","","23.7","0","0","4.6","0"
"02/09/2025 01:45:11","N","QTENSK","","","","","0","0","11.2","",""
"02/09/2025 01:45:11","N","QTOTL1","-.6","-.6","-4.5","","-7.9","0","0","-1.5",""
"02/09/2025 02:00:15","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 02:00:15","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 02:00:15","N","QAMA","","","","","1","0","0","",""
"02/09/2025 02:00:15","N","QBPEC7","-1.5","-1.5","-13.6","","-16.2","0","0","-3.4",""
"02/09/2025 02:00:15","N","QBTU","","","","","0","0","7","",""
"02/09/2025 02:00:15","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 02:00:15","N","QEDE10","","","","","0","0","43.2","",""
"02/09/2025 02:00:15","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 02:00:15","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 02:00:15","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 02:00:15","N","QEDES5","","","","","0","0","18.4","",""
"02/09/2025 02:00:15","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 02:00:15","N","QEDES8","","","","","0","0","13.5","",""
"02/09/2025 02:00:15","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 02:00:15","N","QFRONT","","","","","0","0","4.2","",""
"02/09/2025 02:00:15","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 02:00:15","N","QGERD","","","","","0","0","6.7","",""
"02/09/2025 02:00:15","N","QGEXA","","","","","0","0","20.8","",""
"02/09/2025 02:00:15","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 02:00:15","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 02:00:15","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 02:00:15","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 02:00:15","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 02:00:15","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 02:00:15","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 02:00:15","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 02:00:15","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 02:00:15","N","QSTEC","0","0","0","","0","0","27.6","",""
"02/09/2025 02:00:15","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 02:00:15","N","QTEN18","2.2","2.2","20.3","","24.2","0","0","5.1","0"
"02/09/2025 02:00:15","N","QTENSK","","","","","0","0","11.1","",""
"02/09/2025 02:00:15","N","QTOTL1","-.7","-.7","-6.7","","-8","0","0","-1.7",""
"02/09/2025 02:15:11","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 02:15:11","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 02:15:11","N","QAMA","","","","","1","0","0","",""
"02/09/2025 02:15:11","N","QBPEC7","-1.5","-1.5","-13.6","","-16.2","0","0","-3.4",""
"02/09/2025 02:15:11","N","QBTU","","","","","0","0","7","",""
"02/09/2025 02:15:11","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 02:15:11","N","QEDE10","","","","","0","0","43.2","",""
"02/09/2025 02:15:11","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 02:15:11","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 02:15:11","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 02:15:11","N","QEDES5","","","","","0","0","18.4","",""
"02/09/2025 02:15:11","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 02:15:11","N","QEDES8","","","","","0","0","13.5","",""
"02/09/2025 02:15:11","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 02:15:11","N","QFRONT","","","","","0","0","4.2","",""
"02/09/2025 02:15:11","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 02:15:11","N","QGERD","","","","","0","0","6.7","",""
"02/09/2025 02:15:11","N","QGEXA","","","","","0","0","20.8","",""
"02/09/2025 02:15:11","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 02:15:11","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 02:15:11","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 02:15:11","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 02:15:11","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 02:15:11","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 02:15:11","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 02:15:11","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 02:15:11","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 02:15:11","N","QSTEC","0","0","0","","0","0","27.6","",""
"02/09/2025 02:15:11","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 02:15:11","N","QTEN18","2.2","2.2","20.3","","24.2","0","0","5.1","0"
"02/09/2025 02:15:11","N","QTENSK","","","","","0","0","11.1","",""
"02/09/2025 02:15:11","N","QTOTL1","-.7","-.7","-6.7","","-8","0","0","-1.7",""
"02/09/2025 02:30:12","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 02:30:12","N","QALTRE","","","22","","15","0","18.6","",""
"02/09/2025 02:30:12","N","QAMA","","","","","1","0","0","",""
"02/09/2025 02:30:12","N","QBPEC7","-1.5","-1.5","-13.6","","-16.2","0","0","-3.4",""
"02/09/2025 02:30:12","N","QBTU","","","","","0","0","7","",""
"02/09/2025 02:30:12","N","QCALP","0","0","-25","0","-5","0","0","0","0"
"02/09/2025 02:30:12","N","QEDE10","","","","","0","0","43.2","",""
"02/09/2025 02:30:12","N","QEDE12","","","","","0","0","12.9","",""
"02/09/2025 02:30:12","N","QEDES1","","","","","0","0","93.2","",""
"02/09/2025 02:30:12","N","QEDES2","","","","","0","0","7.1","",""
"02/09/2025 02:30:12","N","QEDES5","","","","","0","0","18.4","",""
"02/09/2025 02:30:12","N","QEDES6","","","","","0","0","6.5","",""
"02/09/2025 02:30:12","N","QEDES8","","","","","0","0","13.5","",""
"02/09/2025 02:30:12","N","QEXEL1","","","","","0","0","0","",""
"02/09/2025 02:30:12","N","QFRONT","","","","","0","0","4.2","",""
"02/09/2025 02:30:12","N","QGAR6","","","","","0","0","7.4","",""
"02/09/2025 02:30:12","N","QGERD","","","","","0","0","6.7","",""
"02/09/2025 02:30:12","N","QGEXA","","","","","0","0","20.8","",""
"02/09/2025 02:30:12","N","QGEXA7","","","","","0","0","5.6","",""
"02/09/2025 02:30:12","N","QJUSL1","","","3","","10","0","0","10",""
"02/09/2025 02:30:12","N","QJUSL2","","","4","","10","0","0","15",""
"02/09/2025 02:30:12","N","QJUSL3","","","3","","10","0","0","10",""
"02/09/2025 02:30:12","N","QLCRA","0","0","-2","","0","0","17","0","0"
"02/09/2025 02:30:12","N","QNRGTX","","","","","25","0","100","",""
"02/09/2025 02:30:12","N","QOCSQ1","","","","","0","0","7.6","",""
"02/09/2025 02:30:12","N","QSEMES","","","25","","5","0","0","",""
"02/09/2025 02:30:12","N","QSHELL","0","0","-40","0","-49","0","0","-38","0"
"02/09/2025 02:30:12","N","QSTEC","0","0","0","","0","0","27.6","",""
"02/09/2025 02:30:12","N","QSTEC1","","","0","","0","0","2.7","",""
"02/09/2025 02:30:12","N","QTEN18","2.2","2.2","20.3","","24.2","0","0","5.1","0"
"02/09/2025 02:30:12","N","QTENSK","","","","","0","0","11.1","",""
"02/09/2025 02:30:12","N","QTOTL1","-.7","-.7","-6.7","","-8","0","0","-1.7",""
"02/09/2025 02:45:12","N","QAEN","0","17.5","105","","0","0","0","41",""
"02/09/2025 02:45:12","N","QALTRE","","","22","","15","0","18.6","",""
